Magnet Current (A),B (T),B uncertainty,I(mA),I uncertainty,V(mV),V uncertainty,Voltmeter range
4.5,1.108,0.003,1,0.1,0.26,0.005,1mV
4.5,1.108,0.003,2,0.1,0.462,0.005,1mV
4.5,1.108,0.003,3,0.1,0.72,0.005,1mV
4.5,1.108,0.003,4,0.1,0.9,0.005,1mV
4.5,1.108,0.003,6,0.1,1.48,0.02,3mV
4.5,1.108,0.003,7,0.1,1.69,0.02,3mV
4.5,1.108,0.003,8,0.1,1.94,0.02,3mV
4.5,1.108,0.003,9,0.1,2.16,0.02,3mV
4.5,1.108,0.003,10,0.1,2.25,0.02,3mV
4.5,1.108,0.003,12,0.1,2.7,0.02,3mV
4.5,1.108,0.003,13,0.1,2.92,0.02,3mV
4.5,1.108,0.003,14,0.1,3.1,0.05,10mV
4.5,1.108,0.003,15,0.1,3.3,0.05,10mV
4.5,1.108,0.003,17,0.1,3.65,0.05,10mV
4.5,1.108,0.003,18,0.1,3.8,0.05,10mV
4.5,1.108,0.003,19,0.1,4.1,0.05,10mV
4.5,1.108,0.003,20,0.1,4.3,0.05,10mV
4.5,1.108,0.003,21,0.1,4.4,0.05,10mV
4.5,1.108,0.003,23,0.1,4.8,0.05,10mV
4.5,1.108,0.003,24,0.1,5,0.05,10mV
4.5,1.108,0.003,25,0.1,5.2,0.05,10mV
2.5,0.832,0.003,5,0.1,1.12,0.02,3mV
2.5,0.832,0.003,9,0.1,1.99,0.02,3mV
2.5,0.832,0.003,10,0.1,2.18,0.02,3mV
2.5,0.832,0.003,12,0.1,2.57,0.02,3mV
2.5,0.832,0.003,16,0.1,3.15,0.05,10mV
2.5,0.832,0.003,18,0.1,3.7,0.05,10mV
2.5,0.832,0.003,20,0.1,4.05,0.05,10mV
2.5,0.832,0.003,22,0.1,4.45,0.05,10mV
2.5,0.832,0.003,24,0.1,4.8,0.05,10mV
2.5,0.832,0.003,25,0.1,5,0.05,10mV
0.98,0.344,0.002,3,0.1,0.612,0.003,1mV
0.98,0.344,0.002,5,0.1,1,0.02,3mV
0.98,0.344,0.002,9,0.1,1.77,0.02,3mV
0.98,0.344,0.002,11,0.1,2.13,0.02,3mV
0.98,0.344,0.002,13,0.1,2.5,0.02,3mV
0.98,0.344,0.002,15,0.1,2.85,0.02,3mV
0.98,0.344,0.002,19,0.1,3.45,0.05,10mV
0.98,0.344,0.002,21,0.1,3.8,0.05,10mV
0.98,0.344,0.002,23,0.1,4.15,0.05,10mV
0.3,0.1091,0.003,4,0.1,0.417,0.003,1mV
0.3,0.1091,0.003,6,0.1,0.62,0.003,1mV
0.3,0.1091,0.003,10,0.1,1.02,0.02,3mV
0.3,0.1091,0.003,12,0.1,1.21,0.02,3mV
0.3,0.1091,0.003,14,0.1,1.39,0.02,3mV
0.3,0.1091,0.003,18,0.1,1.77,0.02,3mV
0.3,0.1091,0.003,20,0.1,1.98,0.02,3mV
0.3,0.1091,0.003,22,0.1,2.15,0.02,3mV
0.3,0.1091,0.003,24,0.1,2.34,0.02,3mV
0.3,0.1091,0.003,25,0.1,2.49,0.02,3mV
1.59,0.548,0.003,2,0.1,0.437,0.005,1mV
1.59,0.548,0.003,6,0.1,1.31,0.02,3mV
1.59,0.548,0.003,8,0.1,1.77,0.02,3mV
1.59,0.548,0.003,10,0.1,2.16,0.02,3mV
1.59,0.548,0.003,12,0.1,2.55,0.02,3mV
1.59,0.548,0.003,16,0.1,3.2,0.05,10mV
1.59,0.548,0.003,18,0.1,3.6,0.05,10mV
1.59,0.548,0.003,22,0.1,4.4,0.05,10mV
1.59,0.548,0.003,24,0.1,4.8,0.05,10mV
1.59,0.548,0.003,25,0.1,5.05,0.05,10mV
